PN结	PN結
塞拉利昂	塞拉利昂
塞浦路斯	塞浦路斯
塞舌尔	塞舌爾
处理程序	處理程序
复选按钮	複選按鈕
复选框	複選框
多任务	多任務
多动症	多動症
多囊卵巢综合征	多囊卵巢綜合徵
多尼采蒂	多尼采蒂
多米尼加	多米尼加
多线程	多線程
大众公司	大衆公司
大众汽车	大衆汽車
大众汽车集团	大衆汽車集團
大众集团	大衆集團
大数据	大數據
天冬氨酸	天冬氨酸
天冬酰胺	天冬酰胺
天门冬氨酸	天門冬氨酸
天门冬酰胺	天門冬酰胺
头文件	頭文件
奥尔夫	奧爾夫
奥巴马	奧巴馬
威斯康星	威斯康星
威斯康星州	威斯康星州
字符串	字符串
字符集	字符集
字节跳动	字節跳動
孤独症	孤獨症
安提瓜和巴布达	安提瓜和巴布達
宏内核	宏內核
宏函数	宏函數
宏命令	宏命令
宏处理	宏處理
宏定义	宏定義
宏展开	宏展開
宏指令	宏指令
宏替换	宏替換
宏编程	宏編程
宏语言	宏語言
宏调用	宏調用
宝洁公司	寶潔公司
宝马集团	寶馬集團
实模式	實模式
宾夕法尼亚	賓夕法尼亞
宾夕法尼亚州	賓夕法尼亞州
寄存器	寄存器
密歇根	密歇根
密歇根州	密歇根州
对乙酰氨基酚	對乙酰氨基酚
对话框	對話框
尼日利亚	尼日利亞
尼日尔	尼日爾
局域网	局域網
巴巴多斯	巴巴多斯
巴布亚新几内亚	巴布亞新幾內亞
市场营销	市場營銷
布列兹	布列茲
布基纳法索	布基納法索
布里顿	布里頓
布隆迪	布隆迪
布雷顿	布雷頓
布雷顿森林	布雷頓森林
布雷顿森林体系	布雷頓森林體系
帕金森病	帕金森病
并行计算	並行計算
库欣综合征	庫欣綜合徵
康涅狄格	康涅狄格
康涅狄格州	康涅狄格州
开市客	開市客
开市客公司	開市客公司
异亮氨酸	異亮氨酸
引导程序	引導程序
弗吉尼亚	弗吉尼亞
弗吉尼亚州	弗吉尼亞州
强生公司	強生公司
得克萨斯	得克薩斯
得克萨斯州	得克薩斯州
德克萨斯	德克薩斯
德克萨斯州	德克薩斯州
德彪西	德彪西
德沃夏克	德沃夏克
心室颤动	心室顫動
心房扑动	心房撲動
心房颤动	心房顫動
心肌梗死	心肌梗死
急性呼吸窘迫综合征	急性呼吸窘迫綜合徵
性价比	性價比
意大利	意大利
慢性疲劳综合征	慢性疲勞綜合徵
戊型肝炎	戊型肝炎
戒断综合征	戒斷綜合徵
戴留斯	戴留斯
所罗门群岛	所羅門羣島
扑热息痛	撲熱息痛
打印机	打印機
扩展名	擴展名
扫描仪	掃描儀
抑郁症	抑鬱症
抽动秽语综合征	抽動穢語綜合徵
拉赫玛尼诺夫	拉赫瑪尼諾夫
持久性	持久性
摩尔线程	摩爾線程
操作数	操作數
操作符	操作符
操作系统	操作系統
支持者	支持者
数字印刷	數字印刷
数字电子	數字電子
数字电路	數字電路
数据仓库	數據倉庫
数据库	數據庫
数据报	數據報
数据挖掘	數據挖掘
数据源	數據源
文件名	文件名
文件夹	文件夾
文件扩展名	文件擴展名
文字处理	文字處理
斯克里亚宾	斯克里亞賓
斯卡拉蒂	斯卡拉蒂
斯威士兰	斯威士蘭
斯洛文尼亚	斯洛文尼亞
斯特拉文斯基	斯特拉文斯基
斯美塔那	斯美塔那
新泽西	新澤西
新泽西州	新澤西州
新罕布什尔	新罕布什爾
新罕布什尔州	新罕布什爾州
新西兰	新西蘭
方便面	方便麪
方程式	方程式
施托克豪森	施托克豪森
施特劳斯	施特勞斯
无损压缩	無損壓縮
时分复用	時分複用
时分多址	時分多址
时钟频率	時鐘頻率
显像管	顯像管
普罗科菲耶夫	普羅科菲耶夫
晶体管	晶體管
晶闸管	晶閘管
最终用户	最終用戶
有损压缩	有損壓縮
服务器	服務器
本地代码	本地代碼
构造函数	構造函數
构造器	構造器
析构函数	析構函數
柏辽兹	柏遼茲
标识符	標識符
格什温	格什溫
格拉斯	格拉斯
格林卡	格林卡
格林纳达	格林納達
格里格	格里格
格鲁吉亚	格魯吉亞
格鲁吉亚共和国	格魯吉亞共和國
桌面型	桌面型
梅西安	梅西安
模拟电子	模擬電子
模拟电路	模擬電路
欣德米特	欣德米特
欧莱雅	歐萊雅
欧莱雅集团	歐萊雅集團
正则表达式	正則表達式
正当程序	正當程序
正电子	正電子
正电子发射计算机断层	正電子發射計算機斷層
比特币	比特幣
比特率	比特率
毛里塔尼亚	毛里塔尼亞
毛里求斯	毛里求斯
氨基酸	氨基酸
氨苄西林	氨苄西林
汇编器	彙編器
汇编语言	彙編語言
汉坦病毒	漢坦病毒
沃尔顿	沃爾頓
沃恩·威廉斯	沃恩·威廉斯
沙特阿拉伯	沙特阿拉伯
沙特阿美	沙特阿美
沙特阿美公司	沙特阿美公司
波分复用	波分複用
波斯尼亚黑塞哥维那	波斯尼亞黑塞哥維那
注册机	註冊機
注册表	註冊表
津巴布韦	津巴布韋
洪都拉斯	洪都拉斯
海内存知己	海內存知己
海菲茨	海菲茨
温纳图万	溫納圖萬
源代码	源代碼
源文件	源文件
滚动条	滾動條
演示文稿	演示文稿
演算法	演算法
潘德列茨基	潘德列茨基
物理内存	物理內存
物理地址	物理地址
特拉华	特拉華
特拉华州	特拉華州
特立尼达和多巴哥	特立尼達和多巴哥
状态栏	狀態欄
珀塞尔	珀塞爾
瓦努阿图	瓦努阿圖
瓦格纳	瓦格納
甘氨酸	甘氨酸
用户名	用戶名
甲型肝炎	甲型肝炎
甲硫氨酸	甲硫氨酸
痴呆症	癡呆症
白细胞	白細胞
目标代码	目標代碼
睡眠呼吸暂停综合征	睡眠呼吸暫停綜合徵
知识产权	知識產權
码分多址	碼分多址
科摩罗	科摩羅
科普兰	科普蘭
科特迪瓦	科特迪瓦
科雷利	科雷利
移动数据	移動數據
移动电话	移動電話
移动硬盘	移動硬盤
移动网络	移動網絡
移动通信	移動通信
程序不正义	程序不正義
程序员	程序員
程序正义	程序正義
穆索尔斯基	穆索爾斯基
空分复用	空分複用
空分多址	空分多址
空气净化器	空氣淨化器
突尼斯	突尼斯
笔记本电脑	筆記本電腦
类模板	類模板
精氨酸	精氨酸
索马里	索馬里
红心大战	紅心大戰
红细胞	紅細胞
纳米比亚	納米比亞
组氨酸	組氨酸
经前期综合征	經前期綜合徵
绑架丁丁当	綁架丁丁當
维瓦尔第	維瓦爾第
编程语言	編程語言
缩略图	縮略圖
缬氨酸	纈氨酸
网上邻居	網上鄰居
罗得岛	羅得島
罗得岛州	羅得島州
美属维尔京群岛	美屬維爾京羣島
老人痴呆症	老人癡呆症
老年性痴呆症	老年性癡呆症
老年痴呆症	老年癡呆症
联系历史	聯繫歷史
肖斯塔科维奇	肖斯塔科維奇
肠易激综合征	腸易激綜合徵
肯尼亚	肯尼亞
肾病综合征	腎病綜合徵
胱氨酸	胱氨酸
脑梗死	腦梗死
脯氨酸	脯氨酸
腕管综合征	腕管綜合徵
自动转屏	自動轉屏
自行车	自行車
航天飞机	航天飛機
色氨酸	色氨酸
艾奥瓦	艾奧瓦
艾奥瓦州	艾奧瓦州
艾滋病	艾滋病
艾滋病人	艾滋病人
艾滋病毒	艾滋病毒
苏氨酸	蘇氨酸
苏里南	蘇里南
苯丙氨酸	苯丙氨酸
英伟达	英偉達
莫扎特	莫扎特
莫桑比克	莫桑比克
莱索托	萊索托
获得性免疫缺陷综合征	獲得性免疫缺陷綜合徵
萨拉萨蒂	薩拉薩蒂
蒂佩特	蒂佩特
虚函数	虛函數
虚拟机	虛擬機
虚拟机器	虛擬機器
血红蛋白	血紅蛋白
表达式	表達式
西弗吉尼亚	西弗吉尼亞
西弗吉尼亚州	西弗吉尼亞州
西贝柳斯	西貝柳斯
视频会议	視頻會議
视频通话	視頻通話
解释器	解釋器
触摸屏	觸摸屏
计算机安全	計算機安全
计算机断层	計算機斷層
计算机科学	計算機科學
诉讼程序	訴訟程序
调制解调器	調製解調器
调色板	調色板
调色盘	調色盤
调试器	調試器
谷氨酰胺	穀氨酰胺
谷氨酸	穀氨酸
贝利尼	貝利尼
赖氨酸	賴氨酸
赞比亚	贊比亞
超声波	超聲波
转义字符	轉義字符
软体动物	軟體動物
过程式编程	過程式編程
运算符	運算符
连接器	連接器
适配器	適配器
通讯卡	通訊卡
通配符	通配符
逻辑门	邏輯門
酪氨酸	酪氨酸
采样率	採樣率
里姆斯基-科萨科夫	里姆斯基-科薩科夫
重命名	重命名
金属氧化物半导体	金屬氧化物半導體
门德尔松	門德爾松
门户网站	門戶網站
门电路	門電路
阻滞剂	阻滯劑
阿司匹林	阿司匹林
阿塞拜疆	阿塞拜疆
阿尔茨海默氏症	阿爾茨海默氏症
阿尔茨海默病	阿爾茨海默病
阿尔茨海默症	阿爾茨海默症
阿拉伯联合酋长国	阿拉伯聯合酋長國
阿斯利康	阿斯利康
阿斯利康公司	阿斯利康公司
阿莫西林	阿莫西林
隐私权	隱私權
雅纳切克	雅納切克
集成电路	集成電路
雷诺综合征	雷諾綜合徵
霍洛维茨	霍洛維茨
面向对象	面向對象
面向过程	面向過程
韦伯恩	韋伯恩
预处理器	預處理器
频分复用	頻分複用
频分多址	頻分多址
飞行模式	飛行模式
首席信息官	首席信息官
首席执行官	首席執行官
首席技术官	首席技術官
首席运营官	首席運營官
马凡综合征	馬凡綜合徵
马尔代夫	馬爾代夫
马方综合征	馬方綜合徵
马萨诸塞	馬薩諸塞
马萨诸塞州	馬薩諸塞州
马里兰	馬里蘭
马里兰州	馬里蘭州
马里共和国	馬里共和國
高性能计算	高性能計算
高级设置	高級設置
高级选项	高級選項
高速缓存	高速緩存
鲍罗丁	鮑羅丁
黄体酮	黃體酮
默认值	默認值
